X,Y,P,V1,V2,V3,V4
10.000000,100.000000,10.110000,0.000000,0.000000,0.000000,0.000000
10.000000,100.000000,10.110000,13.500000,13.500000,13.500000,13.500000
10.000000,100.000000,10.110000,13.500000,13.500000,13.500000,13.500000
10.000000,100.000000,10.110000,13.500000,13.500000,13.500000,13.500000
10.000000,100.000000,10.110000,13.500000,13.500000,13.500000,13.500000
10.000000,100.000000,10.110000,13.500000,13.500000,13.500000,13.500000
10.000000,100.000000,10.110000,13.500000,13.500000,13.500000,13.500000
10.000000,100.000000,10.110000,13.500000,13.500000,13.500000,13.500000
10.000000,100.000000,10.110000,13.500000,13.500000,13.500000,13.500000
10.000000,100.000000,10.110000,13.500000,13.500000,13.500000,13.500000
10.000000,100.000000,10.110000,13.500000,13.500000,13.500000,13.500000
10.000000,100.000000,10.110000,13.500000,13.500000,13.500000,13.500000
10.000000,100.000000,10.110000,13.500000,13.500000,13.500000,13.500000
10.000000,100.000000,10.110000,13.500000,13.500000,13.500000,13.500000
10.000000,100.000000,10.110000,13.500000,13.500000,13.500000,13.500000
10.000000,100.000000,10.110000,13.500000,13.500000,13.500000,13.500000
10.000000,100.000000,10.110000,13.500000,13.500000,13.500000,13.500000
10.000000,100.000000,10.110000,13.500000,13.500000,13.500000,13.500000
10.000000,100.000000,10.110000,13.500000,13.500000,13.500000,13.500000
10.000000,100.000000,10.110000,13.500000,13.500000,13.500000,13.500000
10.000000,100.000000,10.110000,13.500000,13.500000,13.500000,13.500000
10.000000,100.000000,10.110000,13.500000,13.500000,13.500000,13.500000
10.000000,100.000000,10.110000,13.500000,13.500000,13.500000,13.500000
10.000000,100.000000,10.110000,13.500000,13.500000,13.500000,13.500000
10.000000,100.000000,10.110000,13.500000,13.500000,13.500000,13.500000
10.000000,100.000000,10.110000,13.500000,13.500000,13.500000,13.500000
10.000000,100.000000,10.110000,13.500000,13.500000,13.500000,13.500000
10.000000,100.000000,10.110000,13.500000,13.500000,13.500000,13.500000
10.000000,100.000000,10.110000,13.500000,13.500000,13.500000,13.500000
10.000000,100.000000,10.110000,13.500000,13.500000,13.500000,13.500000
10.000000,100.000000,10.110000,13.500000,13.500000,13.500000,13.500000
10.000000,100.000000,10.110000,13.500000,13.500000,13.500000,13.500000
10.000000,100.000000,10.110000,13.500000,13.500000,13.500000,13.500000
10.000000,100.000000,10.110000,13.500000,13.500000,13.500000,13.500000
10.000000,100.000000,10.110000,13.500000,13.500000,13.500000,13.500000
10.000000,100.000000,10.110000,13.500000,13.500000,13.500000,13.500000
10.000000,100.000000,10.110000,13.500000,13.500000,13.500000,13.500000
10.000000,100.000000,10.110000,13.500000,13.500000,13.500000,13.500000
