X,Y,P,V1,V2,V3,V4
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
