Index,Voltage,Power,Channel
0,0.000000,0.000000,0
1,0.000000,0.000000,0
2,0.000000,0.000000,0
3,0.200000,0.000000,0
4,0.700000,0.000000,0
5,1.200000,0.000000,0
6,1.200000,0.000000,0
7,1.700000,0.000000,0
8,2.200000,0.000000,0
9,2.700000,0.000000,0
10,2.700000,0.000000,0
11,3.200000,0.000000,0
12,3.700000,0.000000,0
13,4.200000,0.000000,0
14,4.200000,0.000000,0
15,4.700000,0.000000,0
16,5.200000,0.000000,0
17,5.200000,0.000000,0
18,5.700000,0.000000,0
19,6.200000,0.000000,0
20,6.700000,0.000000,0
21,6.700000,0.000000,0
22,7.200000,0.000000,0
23,7.700000,0.000000,0
24,7.700000,0.000000,0
25,8.200000,0.000000,0
26,8.700000,0.000000,0
27,9.200000,0.000000,0
28,9.200000,0.000000,0
29,9.700000,0.000000,0
30,10.200000,0.000000,0
31,10.700000,0.000000,0
32,10.700000,0.000000,0
33,11.200000,0.000000,0
34,11.700000,0.000000,0
35,11.700000,0.000000,0
36,11.700000,0.000000,0
37,11.700000,0.000000,0
38,11.700000,0.000000,0
39,11.700000,0.000000,0
40,11.700000,0.000000,0
41,11.700000,0.000000,0
42,11.700000,0.000000,0
43,11.700000,0.000000,0
44,11.700000,0.000000,0
45,11.700000,0.000000,0
46,11.700000,0.000000,0
47,11.700000,0.000000,0
48,11.700000,0.000000,0
49,11.700000,0.000000,0
50,11.700000,0.000000,0
51,11.700000,0.000000,0
52,11.700000,0.000000,0
53,11.700000,0.000000,0
54,11.700000,0.000000,0
55,11.700000,0.000000,0
56,0.000000,0.000000,0
57,0.500000,0.000000,0
58,1.000000,0.000000,0
59,1.000000,0.000000,0
60,1.500000,0.000000,0
61,2.000000,0.000000,0
62,2.500000,0.000000,0
63,2.500000,0.000000,0
64,3.000000,0.000000,0
65,3.500000,0.000000,0
66,3.500000,0.000000,0
67,4.000000,0.000000,0
68,4.500000,0.000000,0
69,5.000000,0.000000,0
70,5.000000,0.000000,0
71,5.500000,0.000000,0
72,6.000000,0.000000,0
73,6.000000,0.000000,0
74,6.500000,0.000000,0
75,7.000000,0.000000,0
76,7.500000,0.000000,0
77,7.500000,0.000000,0
78,8.000000,0.000000,0
79,8.500000,0.000000,0
80,9.000000,0.000000,0
81,9.000000,0.000000,0
82,9.500000,0.000000,0
83,10.000000,0.000000,0
84,10.000000,0.000000,0
85,10.500000,0.000000,0
86,11.000000,0.000000,0
87,11.500000,0.000000,0
88,11.500000,0.000000,0
89,11.500000,0.000000,0
90,11.500000,0.000000,0
91,11.500000,0.000000,0
92,11.500000,0.000000,0
93,11.500000,0.000000,0
94,11.500000,0.000000,0
95,11.500000,0.000000,0
96,11.500000,0.000000,0
97,11.500000,0.000000,0
98,11.500000,0.000000,0
99,11.500000,0.000000,0
100,11.500000,0.000000,0
101,11.500000,0.000000,0
102,11.500000,0.000000,0
103,11.500000,0.000000,0
104,11.500000,0.000000,0
105,11.500000,0.000000,0
106,11.500000,0.000000,0
107,11.500000,0.000000,0
108,11.500000,0.000000,0
109,0.000000,0.000000,0
110,0.500000,0.000000,0
111,0.500000,0.000000,0
112,1.000000,0.000000,0
113,1.500000,0.000000,0
114,2.000000,0.000000,0
115,2.000000,0.000000,0
116,2.500000,0.000000,0
117,3.000000,0.000000,0
118,3.500000,0.000000,0
119,3.500000,0.000000,0
120,4.000000,0.000000,0
121,4.500000,0.000000,0
122,4.500000,0.000000,0
